NYS DEPT ENVIRONMENTAL CONSERVATION	1
DISTRICT ATTORNEY OFFICE	1
CONRAIL	14
NYC DEPT ENVIRONMENTAL PROTECTION	14
SEA GATE POLICE DEPT	30
NYC PARKS	71
NYS DEPT TAX AND FINANCE	77
NEW YORK CITY SHERIFF OFFICE	134
AMTRACK	153
U.S. PARK POLICE	185
N.Y. STATE PARKS	272
STATN IS RAPID TRANS	306
LONG ISLAND RAILRD	439
FIRE DEPT (FIRE MARSHAL)	514
METRO NORTH	531
N.Y. STATE POLICE	1209
HEALTH & HOSP CORP	2590
TRI-BORO BRDG TUNNL	4633
DEPT OF CORRECTIONS	4825
POLICE DEPT NYC	8986
OTHER	13575
PORT AUTHORITY	24657
N.Y. TRANSIT POLICE	108817
N.Y. HOUSING POLICE	390853
N.Y. POLICE DEPT	4538344
