values,count
362,3
577,3
123,4
357,11
881,13
460,16
685,18
672,20
676,31
103,33
366,45
349,47
119,48
455,59
102,93
354,95
234,111
115,122
122,122
237,168
571,207
677,239
230,300
120,389
356,618
346,750
363,810
572,829
342,908
675,1450
345,1468
350,1902
124,2305
231,2477
238,2645
125,3756
101,4574
364,5994
678,8476
111,9113
365,9939
116,10855
355,12341
343,12511
104,13791
353,13826
114,13984
360,16064
358,17739
232,20377
340,32057
233,44130
113,49304
118,50563
112,56768
348,59142
117,62683
352,66549
121,72421
236,73680
347,73733
359,100134
110,102061
126,112266
106,184124
107,191407
105,198774
361,283102
235,285801
109,429205
351,433368
344,521611
578,604141
341,822508
